Cod.,Ativo,3. Idade,4. Genero,5. Regiao,6. Estado,7. Cidade,8. Religiao,Religiao_codificado(8),9. Vinculo,10. Nome_da_ONG,11. Nome_da_CEUA,CEUA_unificada(11),12. Instituicao,13. Departamento,14. Natureza_Inst,15. Representante_SPA,16. Quant_membros_CEUA,17. No_licencas_recusadas,18. No_consultores_adhoc,19. Freq_cursos,20. Outros_encontros,21. Metodo_decisao,22. Periodicidade_das_reunioes,23. SPA_assume_relatoria,24. Opiniao_SPA_deve_assumir_relatoria,25. Justifique_dever_assumir_relatoria_aberta,Justifique_dever_assumir_relatoria_codificado(25),26. SPA_deve_ter_formacao,27. Justifique_SPA_deve_ter_formacao_aberta,Justifique_SPA_deve_ter_formacao_aberta_codificado(27),28. Papel_na_CEUA,Papel_na_CEUA_codificado(28),29. Area_formacao_academica,Area_formacao_academica_unificado(29),30. Escolaridade,31. Area_em_que_usa_animais_lista,32. Funcao_administrativa_na_CEUA,Funcao_administrativa_na_CEUA_codificado(32),33. Tempo_de_CEUA,"tempo_de_CEUA_em_anos_avg(33,34)",34. Tempo_de_CEUA_acima_4_anos,35. Conhecimento_formal_em_etica_escala,36. Ensino_de_etica_na_sua_formação_escala,37. Ensino_de_bem-estar_animal_na_sua_formacao_escala,38. Disciplinas_cursadas_na_graduacao_lista,Disciplinas_cursadas_no_Mestrado_lista,Disciplinas_cursadas_no_Doutorado_lista,Disciplinas_cursadas_na_Especialização_lista,Disciplinas_cursadas_em_Curso_de_Extensão_lista,39. Aptidao_para_avaliacoes_eticas_escala,40. Aptidao_para_avaliacoes_de_bem-estar_animal_escala,41. Dificuldade_em_compreender_protocolos,42. Necessidade_de_uso_de_modelos_animais_escala,43. Necessidade_de_uso_de_animais_na_alimentacao_escala,44. Experimentacao_animal_e_um_mal_necessario,45. Justifique_experimentacao_animal_ser_mal_necessario_aberta,Justifique_experimentacao_animal_ser_mal_necessario_codificado(45),46. Experimentos_cientificos_implicam_sofrimento_animal_escala,47. Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_aberta,Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_codificada(47),48. Formas_aceitaveis_de_uso_de_animais_lista,49. Grau_de_sofrimento_dos_animais_escala,50. Vegano_ou_vegetariano_binario,"51. Termos_sobre_o_papel_dos_animais
_fechada",52. Termo_sobre_o_papel_dos_animais_aberta,53. Vontade_para_manifestar_posicionamento,54. Sente-se_discriminado_nas_reunioes,55. Suas_colocacoes_sao_respeitadas,56. Ha_resistencia_as_suas_propostas,57. Demais_membros_atribuem_o_mesmo_nivel_de_preocupacao,58. Sente-se_estressado_nas_reunioes,59. Receio_de_aceitar_ou_rejeitar_protocolo,60. Membros_tem_receio_de_rejeitar_protocolos,61. Ao_avaliar_projeto_de_membro_ele_deve_se_ausentar,62. Membros_que_pesquisam_com_modelos_animais_minimizam_o_sofrimento_deles,63. O_quanto_a_CEUA_se_baseia_no_principio_dos_3Rs_escala,64. Comentario_sobre_CEUAs
1,True,Entre 31 e 40 anos,Masculino,Sul,RS,Santa Maria,Catolicismo,2,Não,,Comissão de Ética no Uso de Animais,UNIVERSIDADE FRANCISCANA,Universidade Franciscana,Pró-reitoria de pós-graduação e pesquisa,Privada,"Sim, apenas titular",Entre 5 e 9,4,0,Raramente,Raramente,Votação e consenso,Uma vez por mês,Não,Não tenho opinião sobre isso,Não tenho opinião formada sobre o assunto.,0,Sim,Pois assim terão conhecimento mais especializado para conhecer melhor o funcionamento da ciência e necessidades de uso ou não de animais na experimentação científica.,1,Docente,3,Filosofia,Humanidades,Doutorado,Não uso animais,Coordenador,1,De 1 ano a 1 ano e meio,1.25,,5,3,0,Filosofia moral,"Bioética, Ética em pesquisa, Filosofia moral, Direitos dos animais",Filosofia moral,"Bioética, Ética em pesquisa","Bem-estar animal, Etologia, Ética animal",4,4,Frequentemente,2,1,Não,Não vejo o uso de animais como um mal necessário. Entendo que se trata de uma necessidade de usá-los em teste por não haver outra alternativa.,1,5,Ter bom conhecimento técnico e ético.,1,"Testes de toxicidade, Pesquisa aplicada, Pesquisas agropecuárias",1,Não,Não sei dizer,,5,Nunca,Constantemente,Raramente,Constantemente,Nunca,Nunca,Nunca,Sim,Nunca,5,
2,True,Entre 31 e 40 anos,Feminino,Sul,SC,Curitibanos,Não tenho religião,5,Não,,Comissão de ética no uso de animais,UFSC,UFSC,Pró-reitoria de pesquisa,Pública,Não há representante da sociedade protetora de animais,20 ou mais,Não sei dizer,Não sei dizer,Raramente,Frequentemente,Votação e consenso,Estamos iniciando este ano encontros quinzenais para discutir esse tema.,Sim,Sim,"É de extrema importância que um membro de SPA faça relatoria de protocolos, pois sempre há uma contribuição muito positiva para o grupo, muitas vezes trazendo novas informações e diferentes visões e possibilidades para o protocolo proposto.",5,Sim,"Acredito que sim, simplesmente por uma questão de formação profissional e de conhecimentos que possam contribuir na avaliação dos protocolos.",1,Docente,3,Medicina Veterinária,Veterinária,Pós doutorado,Vacinas/imunologia,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,6,6 anos,3,2,1,Etologia,"Bioética, Ética em pesquisa","Bioética, Ética em pesquisa",Bem-estar animal,"Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa, Filosofia moral, Direitos dos animais",3,4,Frequentemente,3,2,Não sei dizer,"Acredito que para alguns estudos ainda não temos métodos substitutos que não sejam animais, mas tbm acredito que muitos estudos poderiam ser substituídos por outros métodos ou nem realizados.",2,5,"Relevância e necessidade do estudo, desde que mantido o bem estar dos animais no maior nível possível. Uma opção interessante para começar, seria proibir experimentos em que os animais não possam receber analgésicos ou anti-inflamatórios.",8,"Produção de alimentos/agropecuária, Pesquisa aplicada",2,Sim,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Raramente,Sim,Raramente,4,
3,True,Entre 51 e 60 anos,Feminino,Sul,RS,Cerro Largo,Evangélica,3,Não,,CEUA,UFFS,Universidade Federal da Fronteira Sul,UFFS,Pública,"Sim, titular e suplente",Entre 15 e 19,4,Não sei dizer,Frequentemente,Raramente,Votação e consenso,Uma vez por mês,Não sei dizer,Não,Os projetos são de cunho científico com metodologias específicas aos pesquisadores,1,Sim,"Como os projetos são propostos por doutores/cientistas o representante deve ao menos ter noções de testes estatísticos, delineamento experimental e noções de dos métodos de manipulação de animal em testes científicos.",1,Biólogo (a),1,Biólogo doutor em Genética,Ciências Biológicas; Genética,Doutorado,"Testes toxicológicos, Pesquisa básica",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,4,5,4,"Bioética, Etologia, Ética em pesquisa, Filosofia moral","Bioética, Ética animal","Bioética, Etologia, Ética em pesquisa",Ética em pesquisa,Bem-estar animal,4,4,Raramente,3,4,Não,"Não acredito que o uso de animal seja um mal, eu acredito que com ética, parcimônia e equilíbrio é possível fazer uso de animais para avanço na ciência como um todo.",1,2,Ser um pesquisador e um cientista com projetos bem delineados.,1,"Produção de alimentos/agropecuária, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Pesquisas agropecuárias",3,Não,Sujeitos de pesquisa,,4,Nunca,Frequentemente,Nunca,Frequentemente,Nunca,Nunca,Raramente,Sim,Raramente,4,
4,True,Entre 41 e 50 anos,Feminino,Nordeste,SE,Aracaju,Não tenho religião,5,Não,,Comissão de ética em pesquisa com animais de produção,UFS_ZOOTECNIA,Universidade federal de Sergipe,Departamento de zootecnia,Pública,Não há representante da sociedade protetora de animais,Entre 5 e 9,0,0,Raramente,Nunca,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Sim,Deve fazer relatoria desde que tenha formação técnica ou científica para tal,3,Não,"Pode ser formação técnica ja que a relatoria será discutida com os pares para posterior votação. Pois atualmente, o número de representantes das sociedades protetoras de animais com formação acadêmica é praticamente inexistente",1,Pesquisador,7,Zootecnia,Zootecnia,Doutorado,"Ensino, Pesquisa básica",Coordenador,1,Acima de 4 anos,6,6 anos,4,0,0,Etologia,Etologia,Etologia,Etologia,Etologia,5,4,Raramente,1,0,Não sei dizer,"Não é mal necessário, é um mal!!",3,4,"Garantir que o sofrimento imposto aos animais nao ultrapasse os limites físiologicos e psíquico dos animais, ou seja permitir apenas metodos não invasivos. Rever e restringir os graus de invasividade determinados pelo CONCEA , onde o grau 3 e 4, deveriam ser abolidos como forma de transição a não utilização de animais em experimentação.",8,"Ensino, Para ensino por exemplo, existe práticas que nao provocam sofrimento durante a execução da proposta",1,Sim,Insumos de pesquisa,,4,Raramente,Constantemente,Raramente,Frequentemente,Frequentemente,Raramente,Nunca,Sim,Frequentemente,3,"Percepo  que as CEUAs ainda formalizam o uso de animais a revelia das legislações , ate mesmo pela falta de incentivo aos métodos substitutivos. As CEUAS precisam de mais apoio das instituições que fomentam pesquisa, que deveriam investir muito mais em pesquisa que desenvolvem métodos  que nao utilizam animais, para que mais metodos /modelos substitutivos sejam regulamentados!"
5,True,Entre 61 e 70 anos,Feminino,Centro-oeste,DF,Brasília,Espiritismo,4,Não,,CEUA,UNB,Universidade de Brasilia,Instituto de Biologia,Pública,Não sei dizer,Entre 10 e 14,Não sei dizer,0,Raramente,Raramente,Só votação,Uma vez por mês,Não há representante da sociedade protetora de animais,Sim,Seria um membro como outro qualquer,1,Sim,melhora a qualidade do trabalho,1,Docente,3,Química,Ciências e Tecnologia,Pós doutorado,Testes toxicológicos,Não ocupo nenhuma função administrativa,2,Entre 1 ano e meio e 2 anos,1.5,,3,1,0,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,4,4,Raramente,5,5,Sim,"se pudéssemos prescindir deles, seria bom",6,3,A contribuição dos resultados para o bem estar humano,3,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino",3,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Raramente,Frequentemente,Nunca,Nunca,Nunca,Sim,Raramente,4,
6,True,Entre 31 e 40 anos,Feminino,Sudeste,RJ,Rio de Janeiro,Espiritismo,4,Não,,Comissao de etica em uso de animais do instituto oswasdo cruz,FIOCRUZ_IOC,Fundacao Oswaldo Cruz,Instituto Oswaldo Cruz,Pública,"Sim, apenas titular",Entre 10 e 14,0,2,Constantemente,Raramente,Só consenso,Uma vez por semana,Não,Sim,Acho válido porque este representante ė também um membro da ceua,6,Não,Porque o olhar deles é sobre os animais...a ideia e que eles defendam a utilização dos animais...,0,Médico(a) Veterinário (a),5,Medicina veterinária,Veterinária,Doutorado,"Ensino, Vacinas/imunologia, Diagnóstico de doenças, Pesquisa básica, Manutenção de microorganismos",Vice-coordenador,4,Acima de 4 anos,4,4 anos,5,2,5,"Bem-estar animal, Ética animal, Direitos dos animais",Ética em pesquisa,Ética em pesquisa,"Bem-estar animal, Ética animal, Ética em pesquisa, Direitos dos animais","Bem-estar animal, Bioética, Ética animal, Ética em pesquisa, Direitos dos animais",5,5,Raramente,3,2,Sim,Ainda nao podemos substituir totalmente o uso de animais em pesquisa,6,1,"Conhecimento da etologia, fisiologia e biologia do animal",1,"Pesquisa básica, Pesquisa aplicada",3,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Sim,Raramente,5,
7,True,Entre 41 e 50 anos,Feminino,Sudeste,MG,Belo Horizonte,Catolicismo,2,Não,,Fiocruz,FIOCRUZ_MG,Fiocruz,Fiocruz,Pública,"Sim, apenas titular",20 ou mais,1,2,Raramente,Raramente,Votação e consenso,A cada quinze dias,Não,Não,Na minha experiência os problemas são relacionados aos protocolos científicos e uma pessoa que não seja da área não conseguiria avaliar,1,Sim,Espera-se que o número de anos em ensino auxilie não interpretação e no conhecimento dos protocolos,1,Pesquisador(a),7,Ciências biológicas,Ciências Biológicas,Pós doutorado,"Vacinas/imunologia, Diagnóstico de doenças, Pesquisa básica, Manutenção de microorganismos",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,4,4 anos,4,0,0,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,4,3,Raramente,4,5,Sim,Infelizmente é preciso o contexto do todo (organismo) para entender parte do problema,6,3,"Ineditismo, coerência de pesquisa",2,"Produção de alimentos/agropecuária, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Pesquisas agropecuárias",3,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Raramente,Constantemente,Frequentemente,Nunca,Raramente,Sim,Nunca,5,
8,True,Entre 31 e 40 anos,Masculino,Sudeste,SP,São Paulo,Ateismo ou agnosticismo,1,Não,,Unifesp,UNIFESP,Unifesp,Unifesp,Pública,"Sim, apenas titular",Entre 15 e 19,Não sei dizer,Não sei dizer,Frequentemente,Frequentemente,Só consenso,A cada quinze dias,Sim,Sim,Todos membros devem relatar com exceção do coordenador,6,Sim,É o mínimo que se espera para poder contribuir cientificamente,1,Pesquisador(a),7,Imunologia,Imunologia,Pós doutorado,"Pesquisa básica, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,1.75,,4,4,3,"Bem-estar animal, Bioética",Bem-estar animal,Bem-estar animal,Ética animal,Bem-estar animal,5,5,Nunca,5,5,Não,Senso comum de quem desconhece o tema.,1,1,Primeiramente observar se o bem estar animal  está sendo considerado.,6,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas agropecuárias",2,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Raramente,Sim,Nunca,5,
9,True,Entre 31 e 40 anos,Masculino,Sudeste,SP,São Paulo,Catolicismo,2,Não,,Comissão de Ética no Uso de Animais - Grandfood,GRANDFOOD,Grandfood,Centro de Desenvolvimento Nutricional,Comercial,Não sei dizer,Entre 5 e 9,0,0,Nunca,Nunca,Votação e consenso,Uma vez por semestre,Não sei dizer,Sim,"Uma vez membro, deveria ter as mesmas prerrogativas que os outros membros. Mas, deveriam ser cumpridos pré-requisitos como ser profissional da grande área ""biológicas""",3,Sim,Para real entendimento dos assuntos biológicos e não achismos,2,Médico(a) Veterinário (a),5,Medicina veterinária,Veterinária,Doutorado,"Ensino, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,De 1 ano a 1 ano e meio,1.25,,3,3,2,"Bem-estar animal, Etologia",Ética em pesquisa,Bem-estar animal,Bem-estar animal,"Bem-estar animal, Etologia",2,3,Nunca,2,0,Não,Com grau de ciência atual é possível a substituição,2,2,Realizada por profissionais com critérios objetivos,1,"Produção de alimentos/agropecuária, Pesquisa aplicada, Ensino, Esportes, Pesquisas militares, Esportes e pesquisas militares considerei os animais de trabalho como cães farejadores e animais que ""se divirtam"" no que fazem",1,Sim,Sujeitos de pesquisa,,4,Nunca,Constantemente,Nunca,Não sei dizer,Nunca,Raramente,Raramente,Sim,Frequentemente,4,"Na questão: ""Na questão abaixo, as linhas indicam contextos acadêmicos e as colunas indicam disciplinas cursadas. Nas colunas, assinale quais disciplinas você cursou durante sua formação acadêmica e, nas linhas, em quais contextos cursou cada uma delas (é possível selecionar diversas opções).""

acho que faltam opções. Por exemplo não fiz especialização e não tem a opção ""não cursei"". Então coloquei bem estar animal tb no mestrado, doutorado e especialização, apesar de não ter cursado."
10,True,Entre 41 e 50 anos,Masculino,Nordeste,SE,Aracaju,Ateismo ou agnosticismo,1,Não,,CEPA,CEPA,UFS,Psicologia,Pública,Não há representante da sociedade protetora de animais,20 ou mais,0,2,Frequentemente,Raramente,Votação e consenso,Uma vez por semestre,Não há representante da sociedade protetora de animais,Não tenho opinião sobre isso,"Desde que estou no CEUA o contato com representantes das sociedades protetoras de animais tem sido muito difícil, não há interesse por participar.",2,Não,Acredito que não seja necessário,3,Docente,3,Psicologia,Psicologia,Pós doutorado,Pesquisa básica,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,5,Desde 2016,3,4,2,Filosofia moral,Etologia,Etologia,Bem-estar animal,Bioética,4,4,Frequentemente,5,4,Sim,"Trabalho com simulações computacionais e conheço suas limitações e a dificuldade para reproduzir o comportamento observado em experimentos com animais. Infelizmente não há, no momento, métodos que substituiam sus utilização.",6,3,"Não há um único critério que possa abranger todas as situações, mas geralmente se leva em consideração o impacto da pesquisa e o valor em termos de novo conhecimento que possa se transformar em algum benefício: novas drogas, novos procedimentos, etc.",3,"Testes de cosméticos e produtos de higiene pessoal, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Pesquisas militares, Pesquisas agropecuárias",3,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Raramente,Constantemente,Raramente,Nunca,Nunca,Sim,Nunca,5,
